"","id","time","orden","palabra","ocupacion","edad"
"1",1,2023-06-14 10:06:10,1,"robot","docente",41
"2",1,2023-06-14 10:06:10,2,"chatgpt","docente",41
"3",1,2023-06-14 10:06:10,3,"comunicacion","docente",41
"4",1,2023-06-14 10:06:10,4,"pensamiento","docente",41
"5",1,2023-06-14 10:06:10,5,"trabajo","docente",41
"6",2,2023-06-14 10:08:07,1,"robot","nada",17
"7",2,2023-06-14 10:08:07,2,"trabajo","nada",17
"8",2,2023-06-14 10:08:07,3,"miedo","nada",17
"9",2,2023-06-14 10:08:07,4,"computadora","nada",17
"10",2,2023-06-14 10:08:07,5,"informacion","nada",17
"11",3,2023-06-14 10:10:10,1,"futuro","estudiante",18
"12",3,2023-06-14 10:10:10,2,"maquina","estudiante",18
"13",3,2023-06-14 10:10:10,3,"tecnologia","estudiante",18
"14",3,2023-06-14 10:10:10,4,"robot","estudiante",18
"15",3,2023-06-14 10:10:10,5,"automatico","estudiante",18
"16",4,2023-06-14 10:10:54,1,"informacion","estudiante",18
"17",4,2023-06-14 10:10:54,2,"herramienta","estudiante",18
"18",4,2023-06-14 10:10:54,3,"eficacia","estudiante",18
"19",4,2023-06-14 10:10:54,4,"robot","estudiante",18
"20",4,2023-06-14 10:10:54,5,"evolucion","estudiante",18
"21",5,2023-06-14 10:12:10,1,"practico","estudiante",18
"22",5,2023-06-14 10:12:10,2,"rapido","estudiante",18
"23",5,2023-06-14 10:12:10,3,"sencillo","estudiante",18
"24",5,2023-06-14 10:12:10,4,"evolucion","estudiante",18
"25",5,2023-06-14 10:12:10,5,"novedad","estudiante",18
"26",6,2023-06-14 10:12:32,1,"futuro","estudiante",17
"27",6,2023-06-14 10:12:32,2,"tecnologia","estudiante",17
"28",6,2023-06-14 10:12:32,3,"pensamiento","estudiante",17
"29",6,2023-06-14 10:12:32,4,"informatica","estudiante",17
"30",6,2023-06-14 10:12:32,5,"wall-e","estudiante",17
"31",7,2023-06-14 10:25:24,1,"automatico","estudiante",17
"32",7,2023-06-14 10:25:24,2,"robot","estudiante",17
"33",7,2023-06-14 10:25:24,3,"recopilacion","estudiante",17
"34",7,2023-06-14 10:25:24,4,"creacion","estudiante",17
"35",7,2023-06-14 10:25:24,5,"chat","estudiante",17
"36",8,2023-06-14 10:41:18,1,"chatgpt","estudiante",19
"37",8,2023-06-14 10:41:18,2,"algoritmo","estudiante",19
"38",8,2023-06-14 10:41:18,3,"codigo","estudiante",19
"39",8,2023-06-14 10:41:18,4,"vale4","estudiante",19
"40",8,2023-06-14 10:41:18,5,"tecantotruuco","estudiante",19
"41",9,2023-06-14 13:49:00,1,"robot","estudiante",17
"42",9,2023-06-14 13:49:00,2,"electronico","estudiante",17
"43",9,2023-06-14 13:49:00,3,"futuro","estudiante",17
"44",9,2023-06-14 13:49:00,4,"despido","estudiante",17
"45",9,2023-06-14 13:49:00,5,"agresion","estudiante",17
